Site,Lat,Lon,I,J,elev,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
AB08,51.667,-110.2,15,36,707,0,0,0,0,0,0,0,0,0,0
AB13,51.424,-110.832,15,36,779,0,0,0,0,0,0,0,0,0,0
AK99,67.093,-157.869,5,40,88,0,0,0,0,0,0,0,0,0,0
AL02,30.791,-87.85,19,31,46,0,0,0,0,0,0,0,19427.58,27298.529,19856.15
AL03,32.903,-87.25,20,32,135,0,0,0,0,0,0,14586.83,11301.54,13041.47,10217.04
AL24,30.475,-88.141,19,31,6,0,0,0,0,0,0,0,14940.78,16429.939,19097.02
BC06,49.1,-123.17,12,36,1,0,0,0,0,0,0,5227.28,3309.09,4276.46,0
CA72,37.415,-122.048,13,33,1,0,0,0,0,0,3548.82,2659.84,1795.66,3532.12,2179.91
CA75,36.567,-118.777,13,33,1902,0,0,0,0,0,0,0,0,0,1913.65
CA97,39.824,-123.238,12,33,-9999,0,0,0,5131.95,3849.18,0,0,0,0,0
CO97,40.538,-106.676,16,34,3234,0,0,0,0,10878.96,0,7183.76,6602.18,10244.17,8181.78
CO99,37.198,-108.49,15,33,2172,0,0,0,0,0,0,0,3715.89,4860.42,4017.79
DE02,38.772,-75.099,22,33,2,0,0,0,0,0,0,0,0,0,0
FL04,26.167,-80.5,21,30,5,0,0,0,20997,17141.41,18108.18,20208.23,18860.4,28709.119,17045.51
FL05,28.749,-82.554,20,31,3,0,0,0,14919.93,16671.051,13042.23,12037.53,16965,17699.51,17360.369
FL11,25.39,-80.68,21,30,2,0,0,25926.311,20383.83,17660.439,19963.131,18401.939,18363.4,26778.609,18638.98
FL32,28.592,-81.19,21,31,21,0,0,0,0,0,0,0,0,0,16739.561
FL34,26.656,-80.397,21,30,10,0,0,0,27315.301,12089.32,14942.93,21949.209,10474.03,17805.73,9998.59
GA09,30.74,-82.129,21,31,47,0,0,0,17184.17,12544.06,10079.43,13360.82,11463.14,14789.45,17549.109
GA22,33.777,-84.414,20,32,265,0,0,0,0,0,0,0,0,19045.801,0
GA40,33.931,-85.046,20,32,395,0,0,0,0,0,0,11430.29,14411.09,19186.76,9453.73
HD01,21.158,-98.371,17,29,180,0,0,0,0,0,0,0,0,0,0
IL11,40.053,-88.372,19,34,212,0,0,0,0,9087.95,9779.37,9151.33,9588.31,9758.52,9973.86
IN20,40.84,-85.464,20,34,244,0,0,0,0,0,0,12172.76,9482.2,15361.71,11992.7
IN21,38.762,-85.42,20,33,256,0,0,0,0,0,0,12020.55,14967.98,17280.76,15473.7
IN26,39.858,-86.021,20,33,260,0,0,0,0,0,0,0,0,0,9836.33
IN28,39.146,-86.613,20,33,256,0,0,0,0,0,0,11974.71,12159.17,11425.35,10364.95
IN34,41.632,-87.088,20,34,208,0,0,0,0,0,0,10597.15,9230.25,13021.74,10267.83
KY10,37.132,-86.148,20,33,236,0,0,0,0,0,0,0,0,10868.37,11950.03
LA05,30.177,-93.214,18,31,5,0,0,0,0,13835.39,11173.82,16768,16960.459,11427.29,19604.359
LA10,32.098,-91.711,19,32,20,0,0,0,0,15062.18,14075.9,18935.971,14031.46,16122.66,21043.99
LA23,31.174,-92.413,19,31,1,0,0,0,0,0,0,0,13206.39,12521.71,17519.141
LA28,30.503,-90.377,19,31,9,0,0,0,0,12667.2,11736.87,14473.86,17915.871,19294.48,26205.189
MA01,41.976,-70.025,23,34,41,0,0,0,0,0,0,0,0,0,8015.26
MD08,39.705,-79.012,21,33,769,0,0,0,0,0,0,0,0,0,0
MD99,39.028,-76.817,22,33,46,0,0,0,0,0,0,0,0,0,0
ME02,44.107,-70.729,23,35,222,0,0,0,6552,6967.28,7091.97,5016.18,4967,9053.8,5854.81
ME09,45.49,-69.664,23,35,322,0,0,5727.75,6703.87,6625.34,5623.58,3916.32,4191.96,6076.44,6320.23
ME96,43.832,-70.063,23,34,15,0,0,0,11701.44,8956.86,7941.03,4977.89,6252.4,6725.28,10168.62
ME98,44.374,-68.261,23,35,129,0,0,7587.09,8927.9,8085.84,8713.62,5001.72,7957.47,7285.17,6865.78
MI48,46.287,-85.954,20,35,216,0,0,0,0,0,0,0,0,0,8316.35
MN16,47.531,-93.469,18,35,431,0,0,10045,8983.42,10865.35,9294.61,7153.56,8123.78,6461.04,6768.71
MN18,47.946,-91.496,19,35,524,0,0,3884.79,8025.32,8188.96,8400.41,7961.87,4381.1,6779.03,7226.06
MN22,46.205,-93.759,18,35,384,0,0,0,0,0,0,0,0,7776.56,6971.11
MN23,46.249,-94.497,18,35,410,0,0,6666.37,9749.63,12005.44,7433.08,10553.61,8510.63,7703.27,6704.32
MN27,44.237,-95.301,18,35,343,0,0,7080.33,7915.97,8043.82,9530.021,7119.42,9128.93,5500.47,10232.37
MO46,36.972,-90.143,19,33,105,0,0,0,0,0,0,0,0,14406.41,10359.64
MS22,30.985,-88.932,19,31,100,0,0,0,0,0,0,16055.61,16592.721,22648.33,22106.66
MT05,48.51,-113.996,14,36,980,0,0,0,0,0,0,0,0,0,5655.68
NB02,45.083,-67.083,24,35,10,0,0,5738.41,7079.19,6818.34,7161.17,4279.15,10550.1,0,0
NC08,34.259,-78.478,21,32,10,0,0,13247.39,14964.23,15619.35,12068.22,9189.54,10224.979,14019.44,11764.37
NC42,35.737,-76.515,22,32,2,0,0,9573.55,9943.68,7833.35,10969.96,6831.23,7844.82,10556.729,11147.92
ND01,48.642,-102.402,17,36,692,0,0,0,0,0,0,0,0,0,3422.88
NF09,49.317,-57.383,26,36,168,0,0,0,0,0,0,6385.55,5052.94,4248.3,4783.86
NH00,43.5,-71.5,23,34,-9999,0,0,0,0,0,0,0,3757.86,0,0
NH02,43.943,-71.703,23,34,250,0,0,0,0,0,0,0,0,0,0
NH05,43.167,-70.867,23,34,10,0,0,0,7715.92,0,0,0,0,0,0
NM10,33.063,-107.292,16,32,1280,0,0,0,4077.45,0,6904.64,4855.97,4439.53,3714.78,5725.72
NS01,44.433,-65.206,24,35,155,0,0,7619.37,6369.18,0,7037.13,6422.6,7719.74,6840.25,6465.98
NV02,41.503,-117.499,14,34,1388,0,0,0,0,0,0,0,0,0,3694.97
NV99,41.552,-115.213,14,34,-9999,0,0,0,0,0,0,0,0,0,3983.43
NY20,43.973,-74.223,22,34,500,0,0,0,0,0,9264.65,6081.49,6022.18,9059.93,6818.68
NY68,41.994,-74.504,22,34,634,0,0,0,0,0,0,0,0,0,0
OA02,15.65,-96.483,18,27,110,0,0,0,0,0,0,0,0,0,0
OH02,39.308,-82.118,21,33,-9999,0,0,0,0,0,0,0,0,0,0
OK15,36.956,-97.034,18,33,349,0,0,0,0,0,0,0,0,0,0
OK99,35.751,-94.672,18,32,304,0,0,0,0,0,0,0,0,0,13935.36
ON03,45.224,-78.931,21,35,320,0,0,0,7420.1,0,0,0,0,0,0
ON07,44.233,-79.783,21,35,251,0,0,0,0,0,0,4481.2,4703.6,5866.53,5579.25
ON10,45.808,-82.95,20,35,184,0,0,0,0,0,0,0,8247.95,0,0
ON11,43.843,-77.154,22,34,78,0,0,0,0,0,0,0,6589.35,0,0
OR01,45.47,-122.815,12,35,81,0,0,0,0,0,0,0,0,0,3390.43
OR10,44.213,-122.253,13,35,436,0,0,0,0,0,0,0,0,6922.97,6973.21
PA00,39.923,-77.308,22,33,269,0,0,0,0,0,0,7052.54,7791.8,10176.99,10266.84
PA13,40.457,-78.56,21,34,739,0,0,10869.67,9772.35,8931,8241.62,11394.45,9402.44,11380.6,11377.65
PA30,42.156,-80.113,21,34,177,0,0,0,0,0,0,7403.16,8893.73,10416.81,10594.11
PA37,39.816,-80.285,21,33,347,0,0,0,0,0,9426.61,9407.48,9107.21,13003.17,10191.43
PA47,39.99,-76.386,22,33,85,0,0,0,0,0,0,0,0,10505.26,10808.5
PA60,40.117,-75.883,22,34,46,0,0,0,0,0,12554.93,8069.68,10183.74,12133.03,11979.83
PA72,41.327,-74.82,22,34,212,0,0,0,0,0,0,8435.17,9510.96,16241.11,12565.13
PA90,41.804,-77.19,22,34,476,0,0,6993.98,7420.13,6721.93,6331.52,4493.32,6198.56,7881.65,8327.44
PQ04,45.2,-74.033,22,35,49,0,0,0,0,5764.55,7113.5,5250.04,5618.58,7847.18,4872.01
PQ05,50.267,-64.233,24,36,11,0,0,0,0,4932.81,4265.48,5761.41,3043.94,3914.63,4716.85
SC03,33.245,-81.65,21,32,90,0,0,0,0,0,0,0,12463.27,0,0
SC05,32.942,-79.659,21,32,-9999,0,0,0,0,0,0,0,0,0,0
SC19,33.814,-80.781,21,32,145,0,0,14229.22,12675.91,7163.77,9912.44,0,10040.55,12503.1,8960.08
SK12,50.2,-104.717,16,36,-9999,0,0,0,0,0,0,0,2884.33,1850.96,2603.38
TN11,35.665,-83.59,20,32,640,0,0,0,0,0,0,0,0,16456.67,15824.04
TX21,32.379,-94.712,18,32,103,0,0,12134.16,12670.61,10475.75,14477.12,15352.58,11070.3,9233.37,13249.4
TX50,32.693,-97.25,18,32,212,0,0,0,0,0,0,0,13053.87,7207.12,14487.65
VA08,38.422,-78.104,21,33,163,0,0,0,0,0,0,0,0,12822.03,7783.5
VA28,38.522,-78.436,21,33,1074,0,0,0,0,0,0,0,0,12750.38,9709.33
VA98,37.531,-76.493,22,33,13,0,0,0,0,0,0,0,0,0,0
VT99,44.528,-72.869,22,35,399,0,0,0,0,0,0,0,0,0,0
WA18,47.685,-122.258,13,35,25,0,0,17386.859,5226.6,7979.31,5705.05,5887.93,5673.11,6007.97,6785.66
WI08,46.747,-91.605,19,35,207,0,0,6252.74,8700.91,12862.21,9187.21,7085.49,6274.64,4297.28,6225.19
WI09,45.796,-88.399,19,35,421,0,0,5612.54,6219.76,9436.07,9553.81,7765.84,10240.75,5725.23,6203.32
WI10,45.563,-88.808,19,35,563,0,0,0,0,0,0,0,0,0,0
WI22,43.075,-87.883,19,34,222,0,0,0,0,0,0,0,0,8415.93,9940.13
WI31,43.435,-89.68,19,34,389,0,0,0,0,0,0,10209.33,9537.689,8274.89,12483.93
WI32,44.931,-88.755,19,35,319,0,0,0,0,0,0,0,0,7583.54,6031.37
WI36,46.053,-89.653,19,35,501,0,0,8066.14,7692.29,9056.27,8935.03,8102.96,10452.03,6547.78,7174.77
WI99,42.579,-88.501,19,34,288,0,0,7520.05,12558.67,8847.479,20344.891,13216.41,8927.47,9031.14,7976.12
WY07,44.565,-110.4,15,35,2468,0,0,0,0,0,0,0,0,3602.32,0
WY08,44.917,-110.42,15,35,1912,0,0,0,0,0,0,0,0,0,0